combo,n_replicates,nldi_mean,nldi_std,nldi_median,bootstrap_ci_lo,bootstrap_ci_hi,wilcoxon_stat,wilcoxon_p,wilcoxon_p_bonf,wilcoxon_sig,boot_p_value,boot_significant,ttest_t,ttest_p
T1-T2,37,0.3695,0.3881,0.2513,0.2615,0.5079,703.0,7.28e-12,7.28e-11,True,0.0001,True,5.712,1.69e-06
T1-T3,37,0.4491,0.3442,0.3651,0.3436,0.5634,703.0,7.28e-12,7.28e-11,True,0.0001,True,7.827,2.79e-09
T1-T4,37,0.3394,0.3622,0.2106,0.238,0.4696,703.0,7.28e-12,7.28e-11,True,0.0001,True,5.622,2.23e-06
T1-T5,37,0.3554,0.291,0.2823,0.2736,0.4597,703.0,7.28e-12,7.28e-11,True,0.0001,True,7.329,1.22e-08
T2-T3,37,0.3891,0.2972,0.318,0.3042,0.4938,703.0,7.28e-12,7.28e-11,True,0.0001,True,7.855,2.57e-09
T2-T4,37,0.1676,0.0919,0.138,0.1395,0.1979,703.0,7.28e-12,7.28e-11,True,0.0001,True,10.946,5.26e-13
T2-T5,37,0.3516,0.2964,0.2217,0.265,0.4571,703.0,7.28e-12,7.28e-11,True,0.0001,True,7.117,2.31e-08
T3-T4,37,0.2706,0.2503,0.1702,0.196,0.3553,703.0,7.28e-12,7.28e-11,True,0.0001,True,6.487,1.56e-07
T3-T5,37,0.456,0.5614,0.2566,0.2914,0.6611,703.0,7.28e-12,7.28e-11,True,0.0002,True,4.874,2.21e-05
T4-T5,37,0.2032,0.1554,0.1544,0.1609,0.2594,703.0,7.28e-12,7.28e-11,True,0.0001,True,7.847,2.63e-09
