combo,nldi_mean,nldi_std,t_stat,p_raw,p_bonferroni,significant,n_samples
T1-T2,0.2444,0.0683,9.46,3.08e-05,3.08e-04,True,37
T1-T3,0.2391,0.0417,15.166,1.30e-06,1.30e-05,True,37
T1-T4,0.2764,0.0493,14.826,1.52e-06,1.52e-05,True,37
T1-T5,0.231,0.0592,10.317,1.74e-05,1.74e-04,True,37
T2-T3,0.2558,0.0586,11.557,8.18e-06,8.18e-05,True,37
T2-T4,0.0972,0.0371,6.924,2.26e-04,2.26e-03,True,37
T2-T5,0.2307,0.1195,5.109,1.39e-03,1.39e-02,True,37
T3-T4,0.2366,0.0654,9.572,2.85e-05,2.85e-04,True,37
T3-T5,0.3725,0.1066,9.241,3.59e-05,3.59e-04,True,37
T4-T5,0.1275,0.0261,12.951,3.80e-06,3.80e-05,True,37
