epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,5,,,0.45098039507865906,1.32840096950531
,0.0009999383162408303,6,,,,
1,,11,,,0.5490196347236633,1.1965069770812988
,0.0009997532801828658,12,,,,
2,,17,,,0.7254902124404907,1.0455735921859741
,0.0009994449374809851,18,,,,
3,,23,,,0.7058823704719543,0.8914727568626404
,0.0009990133642141358,24,,,,
4,,29,,,0.6470588445663452,0.815775990486145
,0.000998458666866564,30,,,,
5,,35,,,0.7058823704719543,0.7356135249137878
,0.00099778098230154,36,,,,
6,,41,,,0.7254902124404907,0.6979994177818298
,0.0009969804777275899,42,,,,
7,,47,,,0.6470588445663452,0.6821691393852234
,0.000996057350657239,48,,,,
8,,49,0.8125,0.5812407732009888,,
8,,53,,,0.6078431606292725,0.6852468848228455
,0.0009950118288582787,54,,,,
9,,59,,,0.7254902124404907,0.663135290145874
,0.0009938441702975688,60,,,,
10,,65,,,0.686274528503418,0.637426495552063
,0.000992554663077387,66,,,,
11,,71,,,0.7058823704719543,0.6658802628517151
,0.0009911436253643444,72,,,,
12,,77,,,0.6666666865348816,0.6159129738807678
,0.0009896114053108828,78,,,,
13,,83,,,0.7450980544090271,0.6123416423797607
,0.0009879583809693736,84,,,,
14,,89,,,0.686274528503418,0.7042533159255981
,0.0009861849601988382,90,,,,
15,,95,,,0.7254902124404907,0.6433738470077515
,0.0009842915805643154,96,,,,
16,,99,0.90625,0.3614664673805237,,
16,,101,,,0.7254902124404907,0.6329004764556885
,0.000982278709228899,102,,,,
17,,107,,,0.7254902124404907,0.6806239485740662
,0.0009801468428384714,108,,,,
18,,113,,,0.7254902124404907,0.6522809863090515
,0.0009778965073991648,114,,,,
19,,119,,,0.6274510025978088,0.6949814558029175
,0.0009755282581475766,120,,,,
20,,125,,,0.7058823704719543,0.6766704320907593
,0.0009730426794137723,126,,,,
21,,131,,,0.686274528503418,0.7343429923057556
,0.0009704403844771124,132,,,,
22,,137,,,0.7450980544090271,0.740228533744812
,0.0009677220154149334,138,,,,
23,,143,,,0.6666666865348816,0.7929284572601318
,0.0009648882429441253,144,,,,
24,,149,0.875,0.27087074518203735,,
24,,149,,,0.6666666865348816,0.7985144257545471
,0.000961939766255643,150,,,,
25,,155,,,0.6470588445663452,0.7623130083084106
,0.0009588773128419901,156,,,,
26,,161,,,0.7058823704719543,0.7285669445991516
,0.0009557016383177221,162,,,,
27,,167,,,0.6666666865348816,0.8882566094398499
,0.0009524135262330093,168,,,,
28,,173,,,0.7254902124404907,0.7497772574424744
,0.0009490137878803073,174,,,,
29,,179,,,0.6470588445663452,0.771822452545166
,0.0009455032620941834,180,,,,
30,,185,,,0.7254902124404907,0.9180054664611816
,0.0009418828150443463,186,,,,
31,,191,,,0.7450980544090271,0.771645188331604
,0.0009381533400219311,192,,,,
32,,197,,,0.7450980544090271,0.8100040555000305
,0.0009343157572190951,198,,,,
33,,199,0.9375,0.23130565881729126,,
33,,203,,,0.6666666865348816,0.899307906627655
,0.0009303710135019713,204,,,,
34,,209,,,0.7254902124404907,0.892891526222229
,0.0009263200821770456,210,,,,
35,,215,,,0.7647058963775635,0.8060887455940247
,0.000922163962751007,216,,,,
36,,221,,,0.686274528503418,0.9319812655448914
,0.0009179036806841347,222,,,,
37,,227,,,0.7450980544090271,0.8820801377296448
,0.0009135402871372803,228,,,,
38,,233,,,0.6666666865348816,0.9544118046760559
,0.0009090748587125112,234,,,,
39,,239,,,0.7058823704719543,0.8482628464698792
,0.0009045084971874732,240,,,,
40,,245,,,0.7254902124404907,0.9899656176567078
,0.0008998423292435448,246,,,,
41,,249,0.90625,0.3383352756500244,,
41,,251,,,0.7254902124404907,0.9882768988609314
,0.0008950775061878447,252,,,,
42,,257,,,0.7450980544090271,0.877485990524292
,0.0008902152036691643,258,,,,
43,,263,,,0.6666666865348816,1.0808305740356445
