epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,5,,,0.37254902720451355,1.353411316871643
,0.0009999383162408303,6,,,,
1,,11,,,0.3921568691730499,1.3132480382919312
,0.0009997532801828658,12,,,,
2,,17,,,0.47058823704719543,1.2504777908325195
,0.0009994449374809851,18,,,,
3,,23,,,0.529411792755127,1.1614962816238403
,0.0009990133642141358,24,,,,
4,,29,,,0.5490196347236633,1.0710232257843018
,0.000998458666866564,30,,,,
5,,35,,,0.6078431606292725,0.9770169854164124
,0.00099778098230154,36,,,,
6,,41,,,0.5686274766921997,0.8901674151420593
,0.0009969804777275899,42,,,,
7,,47,,,0.5098039507865906,0.8672837615013123
,0.000996057350657239,48,,,,
8,,49,0.6875,0.701352596282959,,
8,,53,,,0.5882353186607361,0.900857150554657
,0.0009950118288582787,54,,,,
9,,59,,,0.5882353186607361,0.8764490485191345
,0.0009938441702975688,60,,,,
10,,65,,,0.6078431606292725,0.7813127040863037
,0.000992554663077387,66,,,,
11,,71,,,0.6078431606292725,0.8058527112007141
,0.0009911436253643444,72,,,,
12,,77,,,0.5686274766921997,0.8538587093353271
,0.0009896114053108828,78,,,,
13,,83,,,0.6470588445663452,0.7889707684516907
,0.0009879583809693736,84,,,,
14,,89,,,0.6274510025978088,0.7675557136535645
,0.0009861849601988382,90,,,,
15,,95,,,0.6470588445663452,0.7638218998908997
,0.0009842915805643154,96,,,,
16,,99,0.71875,0.698084831237793,,
16,,101,,,0.6274510025978088,0.7377134561538696
,0.000982278709228899,102,,,,
17,,107,,,0.6078431606292725,0.7829486727714539
,0.0009801468428384714,108,,,,
18,,113,,,0.6274510025978088,0.8042770028114319
,0.0009778965073991648,114,,,,
19,,119,,,0.6274510025978088,0.8007745146751404
,0.0009755282581475766,120,,,,
20,,125,,,0.6666666865348816,0.7991510033607483
,0.0009730426794137723,126,,,,
21,,131,,,0.5882353186607361,0.8419750332832336
,0.0009704403844771124,132,,,,
22,,137,,,0.5490196347236633,0.8686181902885437
,0.0009677220154149334,138,,,,
23,,143,,,0.5882353186607361,0.9094764590263367
,0.0009648882429441253,144,,,,
24,,149,0.8125,0.4246109127998352,,
24,,149,,,0.5882353186607361,0.9866562485694885
,0.000961939766255643,150,,,,
25,,155,,,0.5882353186607361,0.84543776512146
,0.0009588773128419901,156,,,,
26,,161,,,0.5882353186607361,0.9795188903808594
,0.0009557016383177221,162,,,,
27,,167,,,0.6274510025978088,0.8005431890487671
,0.0009524135262330093,168,,,,
28,,173,,,0.5882353186607361,1.022288203239441
,0.0009490137878803073,174,,,,
29,,179,,,0.5882353186607361,1.0258111953735352
,0.0009455032620941834,180,,,,
30,,185,,,0.5882353186607361,1.057027816772461
,0.0009418828150443463,186,,,,
31,,191,,,0.5882353186607361,0.8285818696022034
,0.0009381533400219311,192,,,,
32,,197,,,0.6078431606292725,0.8774217367172241
,0.0009343157572190951,198,,,,
33,,199,0.84375,0.44125497341156006,,
33,,203,,,0.6274510025978088,0.985457181930542
,0.0009303710135019713,204,,,,
34,,209,,,0.6666666865348816,0.9157857894897461
,0.0009263200821770456,210,,,,
35,,215,,,0.686274528503418,0.8981165885925293
,0.000922163962751007,216,,,,
36,,221,,,0.6470588445663452,0.8460773229598999
,0.0009179036806841347,222,,,,
37,,227,,,0.6666666865348816,0.8967831134796143
,0.0009135402871372803,228,,,,
38,,233,,,0.7058823704719543,0.983911395072937
,0.0009090748587125112,234,,,,
39,,239,,,0.7254902124404907,0.9504895806312561
,0.0009045084971874732,240,,,,
40,,245,,,0.6666666865348816,1.1708389520645142
,0.0008998423292435448,246,,,,
41,,249,0.84375,0.2614337205886841,,
41,,251,,,0.6666666865348816,1.014714241027832
,0.0008950775061878447,252,,,,
42,,257,,,0.6470588445663452,1.1037650108337402
,0.0008902152036691643,258,,,,
43,,263,,,0.7058823704719543,0.8881798386573792
,0.000885256621387894,264,,,,
44,,269,,,0.7254902124404907,0.7141054272651672
,0.0008802029828000149,270,,,,
45,,275,,,0.7058823704719543,0.6877191066741943
,0.0008750555348152292,276,,,,
46,,281,,,0.6666666865348816,0.8415974378585815
,0.0008698155474893041,282,,,,
47,,287,,,0.6470588445663452,0.7084800601005554
,0.0008644843137107051,288,,,,
48,,293,,,0.6274510025978088,0.8975234031677246
,0.0008590631488815939,294,,,,
49,,299,0.875,0.3228318691253662,,
49,,299,,,0.5882353186607361,0.8312113285064697
,0.0008535533905932731,300,,,,
50,,305,,,0.6078431606292725,0.9478819370269775
,0.0008479563982961564,306,,,,
51,,311,,,0.6666666865348816,0.7340736389160156
,0.0008422735529643437,312,,,,
52,,317,,,0.6666666865348816,0.8373442888259888
,0.000836506256754886,318,,,,
53,,323,,,0.5686274766921997,0.9476667642593384
,0.0008306559326618253,324,,,,
54,,329,,,0.5882353186607361,0.881005585193634
,0.0008247240241650912,330,,,,
55,,335,,,0.7254902124404907,0.7225656509399414
,0.0008187119948743442,336,,,,
56,,341,,,0.7647058963775635,0.7492333054542542
,0.000812621328167852,342,,,,
57,,347,,,0.686274528503418,0.8271334171295166
,0.0008064535268264877,348,,,,
58,,349,0.96875,0.211823508143425,,
58,,353,,,0.686274528503418,0.8193494081497192
,0.0008002101126629415,354,,,,
59,,359,,,0.7254902124404907,0.727402925491333
,0.000793892626146236,360,,,,
60,,365,,,0.7254902124404907,0.7210462689399719
,0.0007875026260216388,366,,,,
