epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,5,,,0.3529411852359772,1.3269213438034058
,0.0009999383162408303,6,,,,
1,,11,,,0.4117647111415863,1.2036672830581665
,0.0009997532801828658,12,,,,
2,,17,,,0.47058823704719543,1.0523067712783813
,0.0009994449374809851,18,,,,
3,,23,,,0.5098039507865906,1.0995599031448364
,0.0009990133642141358,24,,,,
4,,29,,,0.4901960790157318,1.1861050128936768
,0.000998458666866564,30,,,,
5,,35,,,0.45098039507865906,1.5500234365463257
,0.00099778098230154,36,,,,
6,,41,,,0.6274510025978088,1.019785761833191
,0.0009969804777275899,42,,,,
7,,47,,,0.5098039507865906,1.3363752365112305
,0.000996057350657239,48,,,,
8,,49,0.84375,0.2884560525417328,,
8,,53,,,0.5490196347236633,1.179121732711792
,0.0009950118288582787,54,,,,
9,,59,,,0.529411792755127,1.1322901248931885
,0.0009938441702975688,60,,,,
10,,65,,,0.5490196347236633,1.3203669786453247
,0.000992554663077387,66,,,,
11,,71,,,0.47058823704719543,1.3129912614822388
,0.0009911436253643444,72,,,,
12,,77,,,0.5686274766921997,1.1778618097305298
,0.0009896114053108828,78,,,,
13,,83,,,0.5686274766921997,1.2313541173934937
,0.0009879583809693736,84,,,,
14,,89,,,0.6470588445663452,1.2853446006774902
,0.0009861849601988382,90,,,,
15,,95,,,0.5490196347236633,1.7523465156555176
,0.0009842915805643154,96,,,,
16,,99,1.0,0.0957777202129364,,
16,,101,,,0.5490196347236633,1.4439055919647217
,0.000982278709228899,102,,,,
17,,107,,,0.5490196347236633,1.498652696609497
,0.0009801468428384714,108,,,,
18,,113,,,0.47058823704719543,1.9974664449691772
,0.0009778965073991648,114,,,,
19,,119,,,0.5098039507865906,1.4619234800338745
,0.0009755282581475766,120,,,,
20,,125,,,0.5490196347236633,1.3452564477920532
,0.0009730426794137723,126,,,,
21,,131,,,0.5686274766921997,1.6443891525268555
,0.0009704403844771124,132,,,,
22,,137,,,0.5686274766921997,1.622807502746582
,0.0009677220154149334,138,,,,
23,,143,,,0.5098039507865906,1.6582746505737305
,0.0009648882429441253,144,,,,
24,,149,1.0,0.10776720941066742,,
24,,149,,,0.6078431606292725,1.6686362028121948
,0.000961939766255643,150,,,,
25,,155,,,0.6078431606292725,1.7218222618103027
,0.0009588773128419901,156,,,,
26,,161,,,0.529411792755127,1.8361080884933472
,0.0009557016383177221,162,,,,
27,,167,,,0.6274510025978088,2.2402164936065674
,0.0009524135262330093,168,,,,
28,,173,,,0.6274510025978088,2.108419418334961
,0.0009490137878803073,174,,,,
29,,179,,,0.4901960790157318,1.8997925519943237
,0.0009455032620941834,180,,,,
30,,185,,,0.6078431606292725,1.58314049243927
,0.0009418828150443463,186,,,,
31,,191,,,0.5686274766921997,1.5498762130737305
,0.0009381533400219311,192,,,,
32,,197,,,0.5686274766921997,1.4505809545516968
,0.0009343157572190951,198,,,,
33,,199,1.0,0.051657527685165405,,
33,,203,,,0.529411792755127,1.6877049207687378
,0.0009303710135019713,204,,,,
34,,209,,,0.5686274766921997,1.4089181423187256
,0.0009263200821770456,210,,,,
35,,215,,,0.5882353186607361,1.366024374961853
,0.000922163962751007,216,,,,
36,,221,,,0.5490196347236633,1.710231065750122
