epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.4375,1.4667110443115234
,0.0009999383162408303,8,,,,
1,,15,,,0.4375,1.2982425689697266
,0.0009997532801828658,16,,,,
2,,23,,,0.5,1.1789015531539917
,0.0009994449374809851,24,,,,
3,,31,,,0.453125,1.1328092813491821
,0.0009990133642141358,32,,,,
4,,39,,,0.453125,1.1599385738372803
,0.000998458666866564,40,,,,
5,,47,,,0.546875,1.1099165678024292
,0.00099778098230154,48,,,,
6,,49,0.40625,1.1174981594085693,,
6,,55,,,0.515625,1.1308879852294922
,0.0009969804777275899,56,,,,
7,,63,,,0.53125,1.0908067226409912
,0.000996057350657239,64,,,,
8,,71,,,0.515625,1.0909790992736816
,0.0009950118288582787,72,,,,
9,,79,,,0.46875,1.1787562370300293
,0.0009938441702975688,80,,,,
10,,87,,,0.46875,1.1020970344543457
,0.000992554663077387,88,,,,
11,,95,,,0.484375,1.089318037033081
,0.0009911436253643444,96,,,,
12,,99,0.59375,0.8099005222320557,,
12,,103,,,0.484375,1.2153376340866089
,0.0009896114053108828,104,,,,
13,,111,,,0.484375,1.166293740272522
,0.0009879583809693736,112,,,,
14,,119,,,0.5,1.1346819400787354
,0.0009861849601988382,120,,,,
15,,127,,,0.46875,1.2793384790420532
,0.0009842915805643154,128,,,,
16,,135,,,0.484375,1.1702725887298584
,0.000982278709228899,136,,,,
17,,143,,,0.484375,1.3094336986541748
,0.0009801468428384714,144,,,,
18,,149,0.6875,0.7313710451126099,,
18,,151,,,0.515625,1.1883306503295898
,0.0009778965073991648,152,,,,
19,,159,,,0.453125,1.378702998161316
,0.0009755282581475766,160,,,,
20,,167,,,0.453125,1.426513433456421
,0.0009730426794137723,168,,,,
21,,175,,,0.46875,1.3126496076583862
,0.0009704403844771124,176,,,,
22,,183,,,0.5,1.375053882598877
,0.0009677220154149334,184,,,,
23,,191,,,0.5,1.524697184562683
,0.0009648882429441253,192,,,,
24,,199,0.625,0.75034499168396,,
24,,199,,,0.5,1.68019700050354
,0.000961939766255643,200,,,,
25,,207,,,0.46875,1.7316420078277588
,0.0009588773128419901,208,,,,
26,,215,,,0.46875,1.7686572074890137
,0.0009557016383177221,216,,,,
27,,223,,,0.484375,1.8944398164749146
,0.0009524135262330093,224,,,,
28,,231,,,0.484375,2.018080711364746
,0.0009490137878803073,232,,,,
29,,239,,,0.453125,1.9954602718353271
,0.0009455032620941834,240,,,,
30,,247,,,0.484375,2.360496759414673
,0.0009418828150443463,248,,,,
31,,249,0.875,0.23562783002853394,,
31,,255,,,0.46875,2.191944122314453
,0.0009381533400219311,256,,,,
32,,263,,,0.515625,2.403878688812256
,0.0009343157572190951,264,,,,
33,,271,,,0.5,2.3861746788024902
,0.0009303710135019713,272,,,,
34,,279,,,0.5,2.548248529434204
,0.0009263200821770456,280,,,,
35,,287,,,0.515625,2.6497321128845215
,0.000922163962751007,288,,,,
36,,295,,,0.53125,2.864288091659546
,0.0009179036806841347,296,,,,
37,,299,0.96875,0.10130969434976578,,
37,,303,,,0.484375,2.8345601558685303
,0.0009135402871372803,304,,,,
38,,311,,,0.484375,2.884967565536499
,0.0009090748587125112,312,,,,
39,,319,,,0.46875,2.957484483718872
,0.0009045084971874732,320,,,,
40,,327,,,0.53125,2.9996590614318848
,0.0008998423292435448,328,,,,
41,,335,,,0.5,2.807746648788452
