epoch,lr-SOAP,step,train_loss,val_acc,val_loss
,1e-05,0,,,
0,,31,,0.203125,1.610307216644287
0,,31,1.6136491298675537,,
,0.000208,32,,,
1,,63,,0.203125,1.607614278793335
1,,63,1.611839771270752,,
,0.00040599999999999995,64,,,
2,,95,,0.234375,1.6029729843139648
2,,95,1.6073535680770874,,
,0.0006039999999999999,96,,,
3,,127,,0.421875,1.5957024097442627
3,,127,1.6005159616470337,,
,0.0008019999999999999,128,,,
4,,159,,0.421875,1.5836557149887085
4,,159,1.5893868207931519,,
,0.001,160,,,
5,,191,,0.453125,1.5618715286254883
5,,191,1.5735944509506226,,
,0.0009999960999478002,192,,,
6,,223,,0.421875,1.5280187129974365
6,,223,1.5442458391189575,,
,0.0009999843998521037,224,,,
7,,255,,0.4375,1.474468469619751
7,,255,1.502003788948059,,
,0.000999964899895617,256,,,
8,,287,,0.453125,1.393738031387329
8,,287,1.4501515626907349,,
,0.000999937600382848,288,,,
9,,319,,0.5,1.2838406562805176
9,,319,1.3675084114074707,,
,0.0009999025017401013,320,,,
10,,351,,0.484375,1.1815848350524902
10,,351,1.2863825559616089,,
,0.0009998596045154705,352,,,
11,,383,,0.53125,1.111514925956726
11,,383,1.2567291259765625,,
,0.000999808909378832,384,,,
12,,415,,0.515625,1.0777506828308105
12,,415,1.2345445156097412,,
,0.0009997504171218316,416,,,
13,,447,,0.5,1.0693141222000122
13,,447,1.171682357788086,,
,0.0009996841286578745,448,,,
14,,479,,0.5625,1.036289930343628
14,,479,1.1022902727127075,,
,0.0009996100450221093,480,,,
15,,511,,0.578125,0.9947628974914551
15,,511,1.1026946306228638,,
,0.0009995281673714131,512,,,
16,,543,,0.609375,0.9543190598487854
16,,543,1.050109624862671,,
,0.0009994384969843732,544,,,
17,,575,,0.671875,0.8841159343719482
17,,575,1.0777753591537476,,
,0.0009993410352612667,576,,,
18,,607,,0.671875,0.8489583730697632
18,,607,1.0486741065979004,,
,0.0009992357837240386,608,,,
19,,639,,0.71875,0.7829916477203369
19,,639,0.9516733288764954,,
,0.0009991227440162786,640,,,
20,,671,,0.765625,0.7347202301025391
20,,671,0.9557996988296509,,
,0.0009990019179031944,672,,,
21,,703,,0.71875,0.7563315033912659
21,,703,0.9271987676620483,,
,0.0009988733072715862,704,,,
22,,735,,0.75,0.7221810817718506
22,,735,0.9598170518875122,,
,0.0009987369141298144,736,,,
23,,767,,0.765625,0.6955834627151489
23,,767,0.8862425684928894,,
,0.0009985927406077708,768,,,
24,,799,,0.75,0.6767727136611938
24,,799,0.9429079294204712,,
,0.0009984407889568438,800,,,
25,,831,,0.78125,0.6667169332504272
25,,831,0.875996470451355,,
,0.0009982810615498836,832,,,
26,,863,,0.765625,0.6853650212287903
26,,863,0.8614731431007385,,
,0.0009981135608811654,864,,,
27,,895,,0.765625,0.5906617045402527
27,,895,0.8038239479064941,,
,0.0009979382895663504,896,,,
28,,927,,0.8125,0.5819982290267944
28,,927,0.9247258901596069,,
,0.0009977552503424444,928,,,
29,,959,,0.8125,0.5976696014404297
29,,959,0.8514888286590576,,
,0.000997564446067756,960,,,
30,,991,,0.796875,0.5847998857498169
30,,991,0.8975956439971924,,
,0.0009973658797218512,992,,,
31,,1023,,0.796875,0.5594516396522522
31,,1023,0.8873395919799805,,
,0.0009971595544055075,1024,,,
32,,1055,,0.796875,0.5687727332115173
32,,1055,0.8637900352478027,,
,0.0009969454733406646,1056,,,
33,,1087,,0.78125,0.5783096551895142
33,,1087,0.7887614369392395,,
,0.000996723639870375,1088,,,
34,,1119,,0.8125,0.6110763549804688
34,,1119,0.879170835018158,,
,0.0009964940574587512,1120,,,
35,,1151,,0.78125,0.6202773451805115
35,,1151,0.8050192594528198,,
,0.000996256729690912,1152,,,
36,,1183,,0.765625,0.5676007270812988
36,,1183,0.8317828178405762,,
,0.000996011660272926,1184,,,
37,,1215,,0.796875,0.6134663820266724
37,,1215,0.9055776000022888,,
,0.0009957588530317542,1216,,,
38,,1247,,0.828125,0.5377954840660095
38,,1247,0.8401885628700256,,
,0.0009954983119151906,1248,,,
39,,1279,,0.78125,0.5470813512802124
39,,1279,0.7652482986450195,,
,0.0009952300409917993,1280,,,
40,,1311,,0.828125,0.5518747568130493
40,,1311,0.7828737497329712,,
,0.0009949540444508518,1312,,,
41,,1343,,0.8125,0.5481798648834229
41,,1343,0.9401776790618896,,
,0.0009946703266022617,1344,,,
42,,1375,,0.8125,0.5116329193115234
42,,1375,0.8467586636543274,,
,0.0009943788918765175,1376,,,
43,,1407,,0.828125,0.5200477838516235
43,,1407,0.8155810236930847,,
,0.0009940797448246127,1408,,,
44,,1439,,0.8125,0.6100777983665466
44,,1439,0.779562771320343,,
,0.000993772890117975,1440,,,
45,,1471,,0.796875,0.600919246673584
45,,1471,0.8213872313499451,,
,0.0009934583325483938,1472,,,
46,,1503,,0.796875,0.5810658931732178
46,,1503,0.8463239073753357,,
,0.0009931360770279447,1504,,,
47,,1535,,0.8125,0.559028148651123
47,,1535,0.8210892081260681,,
,0.0009928061285889135,1536,,,
48,,1567,,0.828125,0.5331479907035828
48,,1567,0.7423322796821594,,
,0.0009924684923837176,1568,,,
49,,1599,,0.734375,0.650483250617981
49,,1599,0.8946077823638916,,
,0.0009921231736848243,1600,,,
50,,1631,,0.796875,0.5835581421852112
50,,1631,0.7808806896209717,,
,0.00099177017788467,1632,,,
51,,1663,,0.828125,0.47171133756637573
51,,1663,0.7648174166679382,,
,0.000991409510495575,1664,,,
52,,1695,,0.796875,0.5191344022750854
52,,1695,0.7727195620536804,,
,0.0009910411771496582,1696,,,
53,,1727,,0.828125,0.5346058011054993
53,,1727,0.7601126432418823,,
,0.0009906651835987486,1728,,,
54,,1759,,0.8125,0.552251935005188
54,,1759,0.7977150678634644,,
,0.0009902815357142954,1760,,,
55,,1791,,0.78125,0.5793514847755432
55,,1791,0.7738660573959351,,
,0.0009898902394872766,1792,,,
56,,1823,,0.796875,0.5474013090133667
56,,1823,0.7562623023986816,,
,0.0009894913010281058,1824,,,
57,,1855,,0.8125,0.5230046510696411
57,,1855,0.7913435101509094,,
,0.0009890847265665358,1856,,,
58,,1887,,0.796875,0.5739052295684814
58,,1887,0.792287290096283,,
,0.000988670522451562,1888,,,
59,,1919,,0.8125,0.5496653318405151
59,,1919,0.7161330580711365,,
,0.0009882486951513232,1920,,,
60,,1951,,0.828125,0.5610398650169373
60,,1951,0.7798317074775696,,
,0.0009878192512530006,1952,,,
61,,1983,,0.859375,0.5079385042190552
61,,1983,0.7796580791473389,,
,0.000987382197462715,1984,,,
62,,2015,,0.828125,0.553508996963501
62,,2015,0.8925341367721558,,
,0.0009869375406054216,2016,,,
63,,2047,,0.8125,0.5775889754295349
63,,2047,0.7581964135169983,,
,0.000986485287624804,2048,,,
64,,2079,,0.8125,0.5354620814323425
64,,2079,0.7593799233436584,,
,0.0009860254455831652,2080,,,
65,,2111,,0.796875,0.5982658267021179
65,,2111,0.8702839612960815,,
,0.0009855580216613178,2112,,,
66,,2143,,0.78125,0.6022272109985352
66,,2143,0.8185516595840454,,
,0.0009850830231584722,2144,,,
67,,2175,,0.828125,0.547417402267456
67,,2175,0.8835842609405518,,
,0.0009846004574921214,2176,,,
68,,2207,,0.859375,0.5166106224060059
68,,2207,0.7996054291725159,,
,0.0009841103321979263,2208,,,
69,,2239,,0.859375,0.5039771199226379
69,,2239,0.8075787425041199,,
,0.0009836126549295976,2240,,,
70,,2271,,0.734375,0.628990888595581
70,,2271,0.7254856824874878,,
,0.0009831074334587762,2272,,,
71,,2303,,0.8125,0.5906535983085632
71,,2303,0.8314956426620483,,
,0.0009825946756749121,2304,,,
72,,2335,,0.828125,0.5561721324920654
72,,2335,0.7858949899673462,,
,0.0009820743895851405,2336,,,
73,,2367,,0.84375,0.48348143696784973
73,,2367,0.777715265750885,,
,0.0009815465833141583,2368,,,
74,,2399,,0.84375,0.5026837587356567
74,,2399,0.763819694519043,,
,0.0009810112651040953,2400,,,
