epoch,lr-AdamW,step,train_loss,val_acc,val_loss
,1e-05,0,,,
0,,31,,0.140625,1.5994746685028076
0,,31,1.6052221059799194,,
,0.000208,32,,,
1,,63,,0.359375,1.476609468460083
1,,63,1.551003336906433,,
,0.00040599999999999995,64,,,
2,,95,,0.390625,1.293486475944519
2,,95,1.4052997827529907,,
,0.0006039999999999999,96,,,
3,,127,,0.40625,1.226340889930725
3,,127,1.3171072006225586,,
,0.0008019999999999999,128,,,
4,,159,,0.484375,1.2365771532058716
4,,159,1.2482621669769287,,
,0.001,160,,,
5,,191,,0.359375,1.2510058879852295
5,,191,1.2576967477798462,,
,0.0009999960999478002,192,,,
6,,223,,0.484375,1.2714664936065674
6,,223,1.2146613597869873,,
,0.0009999843998521037,224,,,
7,,255,,0.5,1.324500560760498
7,,255,1.132892370223999,,
,0.000999964899895617,256,,,
8,,287,,0.359375,1.394279956817627
8,,287,1.1090527772903442,,
,0.000999937600382848,288,,,
9,,319,,0.421875,1.4166977405548096
9,,319,1.103700876235962,,
,0.0009999025017401013,320,,,
10,,351,,0.4375,1.5563644170761108
10,,351,1.048139214515686,,
,0.0009998596045154705,352,,,
11,,383,,0.40625,1.5984840393066406
11,,383,1.0115445852279663,,
,0.000999808909378832,384,,,
12,,415,,0.40625,1.7041680812835693
12,,415,0.9920536279678345,,
,0.0009997504171218316,416,,,
13,,447,,0.40625,1.7000207901000977
13,,447,0.9437479376792908,,
,0.0009996841286578745,448,,,
14,,479,,0.34375,1.7156556844711304
14,,479,0.9910159111022949,,
,0.0009996100450221093,480,,,
15,,511,,0.453125,1.6166125535964966
15,,511,0.8684372901916504,,
,0.0009995281673714131,512,,,
16,,543,,0.453125,1.5198016166687012
16,,543,0.9125611782073975,,
,0.0009994384969843732,544,,,
17,,575,,0.5,1.5925679206848145
17,,575,0.989338755607605,,
,0.0009993410352612667,576,,,
18,,607,,0.359375,1.876796007156372
18,,607,0.9557195901870728,,
,0.0009992357837240386,608,,,
