epoch,lr-SOAP,step,train_loss,val_acc,val_loss
,0.003,0,,,
0,,31,,0.5625,1.4557952880859375
,0.002997041079278193,32,,,
1,,49,1.444419264793396,,
1,,63,,0.53125,1.11684250831604
,0.0029881759946210596,64,,,
2,,95,,0.609375,1.042184829711914
,0.002973439732467669,96,,,
3,,99,1.425002932548523,,
3,,127,,0.625,1.0070862770080566
,0.0029528904501123824,128,,,
4,,149,1.366927146911621,,
4,,159,,0.5625,1.029239296913147
,0.002926609246184583,160,,,
5,,191,,0.578125,1.021091341972351
,0.002894699840589433,192,,,
6,,199,1.3731352090835571,,
6,,223,,0.59375,1.0389869213104248
,0.0028572881651727964,224,,,
7,,249,0.8889603614807129,,
7,,255,,0.59375,0.9655015468597412
,0.002814521866725773,256,,,
8,,287,,0.625,1.0227874517440796
,0.002766569724290272,288,,,
9,,299,0.618364155292511,,
9,,319,,0.609375,1.0927919149398804
,0.0027136209830652337,320,,,
10,,349,0.935113787651062,,
10,,351,,0.546875,1.0845792293548584
,0.0026558846075422963,352,,,
11,,383,,0.578125,1.075160026550293
,0.002593588456818407,384,,,
12,,399,1.0522549152374268,,
12,,415,,0.53125,1.1314189434051514
,0.002526978385340069,416,,,
13,,447,,0.546875,1.1975553035736084
,0.0024563172726281605,448,,,
14,,449,1.1183485984802246,,
14,,479,,0.578125,1.1789449453353882
,0.002381883985812564,480,,,
15,,499,0.5717902183532715,,
15,,511,,0.546875,1.17549467086792
,0.0023039722790710055,512,,,
16,,543,,0.546875,1.162117838859558
,0.002222889634315522,544,,,
17,,549,1.1236262321472168,,
17,,575,,0.5,1.1881529092788696
,0.0021389560477018264,576,,,
18,,599,1.1603138446807861,,
18,,607,,0.546875,1.1930437088012695
,0.002052502766750675,608,,,
19,,639,,0.578125,1.1061959266662598
,0.0019638709830652338,640,,,
20,,649,0.5525608062744141,,
20,,671,,0.5625,1.1401293277740479
,0.0018734104858036994,672,,,
21,,699,0.6295246481895447,,
21,,703,,0.578125,1.0997731685638428
,0.0017814782812212943,704,,,
22,,735,,0.5625,1.1098086833953857
,0.0016884371837296744,736,,,
23,,749,0.637535810470581,,
23,,767,,0.546875,1.1717910766601562
,0.0015946543840342055,768,,,
24,,799,0.5137385129928589,,
24,,799,,0.546875,1.1676498651504517
,0.0015004999999999999,800,,,
25,,831,,0.5625,1.16265869140625
,0.0014063456159657945,832,,,
26,,849,0.7975037097930908,,
26,,863,,0.578125,1.1495249271392822
,0.0013125628162703258,864,,,
27,,895,,0.546875,1.1241230964660645
,0.001219521718778706,896,,,
28,,899,0.9992566704750061,,
28,,927,,0.53125,1.187072992324829
,0.0011275895141963001,928,,,
29,,949,0.5216820240020752,,
29,,959,,0.5625,1.143601417541504
,0.0010371290169347667,960,,,
30,,991,,0.515625,1.1556107997894287
,0.0009484972332493257,992,,,
31,,999,1.2177785634994507,,
31,,1023,,0.578125,1.1243385076522827
,0.0008620439522981735,1024,,,
32,,1049,0.6993823051452637,,
32,,1055,,0.53125,1.1484060287475586
,0.0007781103656844778,1056,,,
33,,1087,,0.59375,1.1453242301940918
,0.0006970277209289941,1088,,,
34,,1099,1.0890045166015625,,
34,,1119,,0.5625,1.1222807168960571
,0.0006191160141874367,1120,,,
35,,1149,0.6523221731185913,,
35,,1151,,0.5625,1.134009838104248
,0.0005446827273718397,1152,,,
36,,1183,,0.5625,1.1354849338531494
,0.0004740216146599313,1184,,,
37,,1199,0.6533344984054565,,
37,,1215,,0.5625,1.1332972049713135
,0.0004074115431815937,1216,,,
38,,1247,,0.578125,1.1068190336227417
,0.0003451153924577042,1248,,,
39,,1249,0.503170371055603,,
39,,1279,,0.546875,1.1015794277191162
,0.00028737901693476646,1280,,,
40,,1299,0.8904029130935669,,
40,,1311,,0.578125,1.111725091934204
,0.00023443027570972872,1312,,,
41,,1343,,0.546875,1.1136764287948608
,0.00018647813327422655,1344,,,
42,,1349,0.44245749711990356,,
42,,1375,,0.5625,1.1022839546203613
,0.00014371183482720398,1376,,,
43,,1399,0.5050473213195801,,
43,,1407,,0.578125,1.1054725646972656
,0.0001063001594105671,1408,,,
44,,1439,,0.578125,1.115860939025879
,7.439075381541727e-05,1440,,,
45,,1449,0.7504181861877441,,
45,,1471,,0.578125,1.1070815324783325
,4.8109549887617865e-05,1472,,,
46,,1499,1.2070035934448242,,
46,,1503,,0.5625,1.1143896579742432
,2.7560267532331263e-05,1504,,,
47,,1535,,0.578125,1.1124082803726196
,1.2824005378940592e-05,1536,,,
48,,1549,1.1128673553466797,,
48,,1567,,0.5625,1.118994951248169
,3.958920721806798e-06,1568,,,
49,,1599,0.4723486006259918,,
49,,1599,,0.578125,1.1170604228973389
,0.003,1600,,,
50,,1631,,0.46875,1.114700198173523
,0.0029992600872684144,1632,,,
51,,1649,0.6064169406890869,,
51,,1663,,0.578125,1.150667428970337
,0.002997041079278193,1664,,,
52,,1695,,0.515625,1.1645026206970215
,0.0029933451659223185,1696,,,
53,,1699,0.5046631693840027,,
53,,1727,,0.5,1.1859074831008911
,0.0029881759946210596,1728,,,
54,,1749,0.516756534576416,,
54,,1759,,0.515625,1.1534793376922607
,0.002981538666722409,1760,,,
55,,1791,,0.546875,1.1918470859527588
,0.002973439732467669,1792,,,
56,,1799,1.2539912462234497,,
56,,1823,,0.578125,1.0722306966781616
,0.002963887184527152,1824,,,
57,,1849,0.9129313230514526,,
57,,1855,,0.546875,1.192463994026184
,0.0029528904501123824,1856,,,
