epoch,lr-SOAP,step,train_loss,val_acc,val_loss
,1e-05,0,,,
0,,24,,0.25,1.3900433778762817
0,,24,1.3967002630233765,,
,0.000208,25,,,
1,,49,,0.2884615361690521,1.335459589958191
1,,49,1.3699162006378174,,
,0.00040599999999999995,50,,,
2,,74,,0.5384615659713745,1.2287144660949707
2,,74,1.2989866733551025,,
,0.0006039999999999999,75,,,
3,,99,,0.5769230723381042,1.1085875034332275
3,,99,1.2130968570709229,,
,0.0008019999999999999,100,,,
4,,124,,0.5769230723381042,0.9885679483413696
4,,124,1.1308989524841309,,
,0.001,125,,,
5,,149,,0.5961538553237915,0.8799334168434143
5,,149,1.0435171127319336,,
,0.0009999351773732016,150,,,
6,,174,,0.6346153616905212,0.8241462707519531
6,,174,0.9933210611343384,,
,0.000999740726317523,175,,,
7,,199,,0.7307692766189575,0.7430609464645386
7,,199,0.9644675254821777,,
,0.000999416697302747,200,,,
8,,224,,0.75,0.7192755341529846
8,,224,0.9453166127204895,,
,0.0009989631744306228,225,,,
9,,249,,0.7307692766189575,0.6799905300140381
9,,249,0.8732612133026123,,
,0.0009983802754130377,250,,,
10,,274,,0.7307692766189575,0.6668819785118103
10,,274,0.9450957775115967,,
,0.0009976681515414653,275,,,
11,,299,,0.826923131942749,0.6302165985107422
11,,299,0.8959420919418335,,
,0.0009968269876476973,300,,,
12,,324,,0.75,0.6194167733192444
12,,324,0.8755632042884827,,
,0.0009958570020558702,325,,,
13,,349,,0.7884615659713745,0.6248409748077393
13,,349,0.8568873405456543,,
,0.0009947584465258,350,,,
14,,374,,0.7692307829856873,0.6107731461524963
14,,374,0.9179435968399048,,
,0.0009935316061876374,375,,,
15,,399,,0.826923131942749,0.6089478731155396
15,,399,0.7998082637786865,,
,0.0009921767994678626,400,,,
16,,424,,0.7692307829856873,0.6110333800315857
16,,424,0.9330270290374756,,
,0.0009906943780066371,425,,,
17,,449,,0.826923131942749,0.608344554901123
17,,449,0.7970829010009766,,
,0.000989084726566536,450,,,
18,,474,,0.826923131942749,0.5793790221214294
18,,474,0.7636644244194031,,
,0.0009873482629326829,475,,,
19,,499,,0.75,0.6057611107826233
19,,499,0.8125908374786377,,
,0.0009854854378043131,500,,,
20,,524,,0.7692307829856873,0.5933184027671814
20,,524,0.7807921767234802,,
,0.0009834967346777955,525,,,
21,,549,,0.75,0.6188622713088989
21,,549,0.7789547443389893,,
,0.0009813826697211404,550,,,
22,,574,,0.7307692766189575,0.6253486275672913
22,,574,0.8511632680892944,,
,0.0009791437916400285,575,,,
23,,599,,0.8076924085617065,0.579707682132721
23,,599,0.8430521488189697,,
,0.0009767806815353939,600,,,
24,,624,,0.7692307829856873,0.5580316781997681
24,,624,0.7433819770812988,,
,0.0009742939527525992,625,,,
25,,649,,0.75,0.5742499828338623
25,,649,0.7859317064285278,,
,0.0009716842507222428,650,,,
26,,674,,0.7884615659713745,0.6198246479034424
26,,674,0.7783014178276062,,
,0.0009689522527926358,675,,,
27,,699,,0.7692307829856873,0.6147246956825256
27,,699,0.7392131090164185,,
,0.0009660986680539973,700,,,
28,,724,,0.826923131942749,0.5903221368789673
28,,724,0.8697225451469421,,
,0.0009631242371544095,725,,,
29,,749,,0.692307710647583,0.6810107827186584
29,,749,0.7838404774665833,,
,0.0009600297321075828,750,,,
30,,774,,0.7307692766189575,0.6448760628700256
30,,774,0.775837779045105,,
