epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,4,,0.07258348912000656,0.23569950461387634
,0.000999972584682756,5,,,
1,,9,,0.0712643712759018,0.23442550003528595
,0.0009998903417374227,10,,,
2,,14,,0.0683661475777626,0.23115581274032593
,0.0009997532801828658,15,,,
3,,19,,0.06523135304450989,0.22639353573322296
,0.0009995614150494292,20,,,
4,,24,,0.06261468678712845,0.2230297327041626
,0.000999314767377287,25,,,
5,,29,,0.05949978157877922,0.2172035276889801
,0.0009990133642141358,30,,,
6,,34,,0.060801103711128235,0.21934831142425537
,0.000998657238612229,35,,,
7,,39,,0.060707882046699524,0.21632680296897888
,0.0009982464296247522,40,,,
8,,44,,0.054266415536403656,0.20666131377220154
,0.00099778098230154,45,,,
9,,49,0.0438334122300148,,
9,,49,,0.05249493569135666,0.20098699629306793
,0.0009972609476841367,50,,,
10,,54,,0.05067383497953415,0.19669750332832336
,0.0009966863828001983,55,,,
11,,59,,0.04832557961344719,0.1879558116197586
,0.0009960573506572392,60,,,
12,,64,,0.04832642897963524,0.18892525136470795
,0.000995373920235722,65,,,
13,,69,,0.051790885627269745,0.19325195252895355
,0.0009946361664814943,70,,,
14,,74,,0.056545455008745193,0.20018954575061798
,0.000993844170297569,75,,,
15,,79,,0.054418839514255524,0.1944812536239624
,0.0009929980185352527,80,,,
16,,84,,0.052143510431051254,0.18734857439994812
,0.000992097803984621,85,,,
17,,89,,0.0551827996969223,0.194843590259552
,0.0009911436253643446,90,,,
18,,94,,0.06009586155414581,0.1945486068725586
,0.0009901355873108612,95,,,
19,,99,0.03490494564175606,,
19,,99,,0.057121455669403076,0.20072725415229797
,0.000989073800366903,100,,,
20,,104,,0.05290202051401138,0.18505749106407166
,0.0009879583809693738,105,,,
21,,109,,0.05175064876675606,0.18841099739074707
,0.0009867894514365802,110,,,
22,,114,,0.055766910314559937,0.2001524567604065
,0.0009855671399548183,115,,,
23,,119,,0.052036773413419724,0.17917147278785706
,0.0009842915805643158,120,,,
24,,124,,0.05615594610571861,0.19504405558109283
,0.0009829629131445344,125,,,
25,,129,,0.05649888142943382,0.18919749557971954
,0.0009815812833988294,130,,,
26,,134,,0.05830669030547142,0.19623079895973206
,0.0009801468428384719,135,,,
27,,139,,0.05766518414020538,0.19599714875221252
,0.000978659748766034,140,,,
28,,144,,0.055337388068437576,0.18441884219646454
,0.0009771201642581387,145,,,
29,,149,0.029030824080109596,,
29,,149,,0.05625002086162567,0.18634489178657532
,0.0009755282581475771,150,,,
30,,154,,0.057784553617239,0.19656135141849518
,0.0009738842050047931,155,,,
31,,159,,0.05862728878855705,0.19548377394676208
,0.0009721881851187409,160,,,
32,,164,,0.057994939386844635,0.1866905689239502
,0.0009704403844771131,165,,,
33,,169,,0.05456464737653732,0.18257541954517365
,0.0009686409947459461,170,,,
34,,174,,0.05553186312317848,0.19098812341690063
,0.0009667902132486011,175,,,
35,,179,,0.05506204068660736,0.19077707827091217
,0.000964888242944126,180,,,
36,,184,,0.061837419867515564,0.20326177775859833
,0.0009629352924049977,185,,,
37,,189,,0.05581693723797798,0.19591744244098663
,0.0009609315757942507,190,,,
38,,194,,0.05227549746632576,0.1904979944229126
,0.0009588773128419909,195,,,
39,,199,0.008840665221214294,,
39,,199,,0.052238136529922485,0.1899781972169876
,0.0009567727288213008,200,,,
40,,204,,0.05690478906035423,0.19298459589481354
,0.0009546180545235346,205,,,
41,,209,,0.05460235849022865,0.194370836019516
,0.0009524135262330101,210,,,
42,,214,,0.056569259613752365,0.1953483372926712
,0.0009501593857010972,215,,,
43,,219,,0.05653791502118111,0.19498920440673828
,0.0009478558801197068,220,,,
44,,224,,0.0560576394200325,0.19407522678375244
,0.0009455032620941841,225,,,
45,,229,,0.05625093728303909,0.19406498968601227
,0.0009431017896156075,230,,,
46,,234,,0.057712115347385406,0.1979292780160904
,0.0009406517260324962,235,,,
47,,239,,0.057536158710718155,0.20428141951560974
,0.000938153340021932,240,,,
48,,244,,0.05419357120990753,0.1918950378894806
,0.0009356069055600951,245,,,
49,,249,0.017952071502804756,,
49,,249,,0.05368783324956894,0.18622258305549622
,0.0009330127018922197,250,,,
50,,254,,0.05606170371174812,0.19314202666282654
,0.0009303710135019722,255,,,
51,,259,,0.0545269176363945,0.18447914719581604
