epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,8,,0.06992261111736298,0.23581494390964508
,0.000999972584682756,9,,,
1,,17,,0.06787847727537155,0.22945474088191986
,0.0009998903417374227,18,,,
2,,26,,0.06734956800937653,0.22646641731262207
,0.0009997532801828658,27,,,
3,,35,,0.06643003970384598,0.22557954490184784
,0.0009995614150494292,36,,,
4,,44,,0.06680242717266083,0.22665832936763763
,0.000999314767377287,45,,,
5,,49,0.0543011799454689,,
5,,53,,0.06746385991573334,0.228519007563591
,0.0009990133642141358,54,,,
6,,62,,0.06409284472465515,0.22132961452007294
,0.000998657238612229,63,,,
7,,71,,0.06293642520904541,0.21600991487503052
,0.0009982464296247522,72,,,
8,,80,,0.0678640753030777,0.2230004221200943
,0.00099778098230154,81,,,
9,,89,,0.0638207346200943,0.21608370542526245
,0.0009972609476841367,90,,,
10,,98,,0.06783411651849747,0.22494903206825256
,0.0009966863828001983,99,,,
11,,99,0.05317443609237671,,
11,,107,,0.06589242070913315,0.21658660471439362
,0.0009960573506572392,108,,,
12,,116,,0.06781258434057236,0.2212352454662323
,0.000995373920235722,117,,,
13,,125,,0.06998380273580551,0.2224087119102478
,0.0009946361664814943,126,,,
14,,134,,0.0673513188958168,0.21643215417861938
,0.000993844170297569,135,,,
15,,143,,0.07400230318307877,0.22158780694007874
,0.0009929980185352527,144,,,
16,,149,0.04581046104431152,,
16,,152,,0.07038714736700058,0.21876247227191925
,0.000992097803984621,153,,,
17,,161,,0.07458551228046417,0.23268385231494904
,0.0009911436253643446,162,,,
18,,170,,0.06816225498914719,0.2179984599351883
,0.0009901355873108612,171,,,
19,,179,,0.06875912845134735,0.219291552901268
,0.000989073800366903,180,,,
20,,188,,0.07117912918329239,0.2230719029903412
,0.0009879583809693738,189,,,
21,,197,,0.06613308936357498,0.2147160917520523
,0.0009867894514365802,198,,,
22,,199,0.02311128005385399,,
22,,206,,0.06825977563858032,0.2166643887758255
,0.0009855671399548183,207,,,
23,,215,,0.07322833687067032,0.22497010231018066
,0.0009842915805643158,216,,,
24,,224,,0.07801169902086258,0.23250526189804077
,0.0009829629131445344,225,,,
25,,233,,0.06787323951721191,0.21911747753620148
,0.0009815812833988294,234,,,
26,,242,,0.07204251736402512,0.2187557965517044
,0.0009801468428384719,243,,,
27,,249,0.019620874896645546,,
27,,251,,0.07161394506692886,0.21846099197864532
,0.000978659748766034,252,,,
28,,260,,0.06910055875778198,0.2177773267030716
,0.0009771201642581387,261,,,
29,,269,,0.06740274280309677,0.21512840688228607
,0.0009755282581475771,270,,,
30,,278,,0.07550880312919617,0.22789207100868225
,0.0009738842050047931,279,,,
31,,287,,0.07170267403125763,0.21841345727443695
,0.0009721881851187409,288,,,
32,,296,,0.076846644282341,0.22310137748718262
,0.0009704403844771131,297,,,
33,,299,0.013261762447655201,,
33,,305,,0.07697151601314545,0.2291289120912552
,0.0009686409947459461,306,,,
34,,314,,0.0783192366361618,0.2301366925239563
,0.0009667902132486011,315,,,
35,,323,,0.07803374528884888,0.22989138960838318
,0.000964888242944126,324,,,
36,,332,,0.0744679868221283,0.22766470909118652
,0.0009629352924049977,333,,,
37,,341,,0.07474119961261749,0.22742903232574463
,0.0009609315757942507,342,,,
38,,349,0.008061008527874947,,
38,,350,,0.07966627925634384,0.23609744012355804
,0.0009588773128419909,351,,,
39,,359,,0.0773477777838707,0.2267780601978302
,0.0009567727288213008,360,,,
40,,368,,0.07718351483345032,0.22498197853565216
,0.0009546180545235346,369,,,
41,,377,,0.0773559957742691,0.22598996758460999
,0.0009524135262330101,378,,,
42,,386,,0.0756169930100441,0.22404322028160095
,0.0009501593857010972,387,,,
43,,395,,0.07916398346424103,0.23018507659435272
,0.0009478558801197068,396,,,
44,,399,0.007931883446872234,,
44,,404,,0.07913302630186081,0.22817473113536835
,0.0009455032620941841,405,,,
45,,413,,0.0777357891201973,0.22896558046340942
,0.0009431017896156075,414,,,
46,,422,,0.08596712350845337,0.23588711023330688
,0.0009406517260324962,423,,,
47,,431,,0.07711611688137054,0.22939349710941315
