epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,4,,0.07219022512435913,0.23467716574668884
,0.000999972584682756,5,,,
1,,9,,0.07195223867893219,0.2350359410047531
,0.0009998903417374227,10,,,
2,,14,,0.07139644026756287,0.23538899421691895
,0.0009997532801828658,15,,,
3,,19,,0.0710487887263298,0.2356816828250885
,0.0009995614150494292,20,,,
4,,24,,0.07031384110450745,0.23525632917881012
,0.000999314767377287,25,,,
5,,29,,0.0692765861749649,0.23345676064491272
,0.0009990133642141358,30,,,
6,,34,,0.06758751720190048,0.23123988509178162
,0.000998657238612229,35,,,
7,,39,,0.06629658490419388,0.22944210469722748
,0.0009982464296247522,40,,,
8,,44,,0.06424644589424133,0.2267519235610962
,0.00099778098230154,45,,,
9,,49,0.05079995095729828,,
9,,49,,0.061577241867780685,0.22197628021240234
,0.0009972609476841367,50,,,
10,,54,,0.059780482202768326,0.21777454018592834
,0.0009966863828001983,55,,,
11,,59,,0.05785094201564789,0.2123156636953354
,0.0009960573506572392,60,,,
12,,64,,0.056412335485219955,0.20857959985733032
,0.000995373920235722,65,,,
13,,69,,0.05479905381798744,0.20381705462932587
,0.0009946361664814943,70,,,
14,,74,,0.053308792412281036,0.1995953917503357
,0.000993844170297569,75,,,
15,,79,,0.05181262642145157,0.19384847581386566
,0.0009929980185352527,80,,,
16,,84,,0.05228421837091446,0.19363906979560852
,0.000992097803984621,85,,,
17,,89,,0.05260614678263664,0.19112031161785126
,0.0009911436253643446,90,,,
18,,94,,0.05290094390511513,0.18813297152519226
,0.0009901355873108612,95,,,
19,,99,0.029979916289448738,,
19,,99,,0.05183300003409386,0.18510669469833374
,0.000989073800366903,100,,,
20,,104,,0.05262264236807823,0.1874466985464096
,0.0009879583809693738,105,,,
21,,109,,0.050333328545093536,0.1788433939218521
,0.0009867894514365802,110,,,
22,,114,,0.04771381989121437,0.18011043965816498
,0.0009855671399548183,115,,,
23,,119,,0.048064760863780975,0.18052491545677185
,0.0009842915805643158,120,,,
24,,124,,0.047707971185445786,0.1778932511806488
,0.0009829629131445344,125,,,
25,,129,,0.04672176018357277,0.1745178997516632
,0.0009815812833988294,130,,,
26,,134,,0.049632083624601364,0.18198980391025543
,0.0009801468428384719,135,,,
27,,139,,0.04710225388407707,0.1743278056383133
,0.000978659748766034,140,,,
28,,144,,0.04828039929270744,0.17315179109573364
,0.0009771201642581387,145,,,
29,,149,0.022290069609880447,,
