epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,4,,0.05305201932787895,0.18864713609218597
,0.000999972584682756,5,,,
1,,9,,0.052812252193689346,0.18871745467185974
,0.0009998903417374227,10,,,
2,,14,,0.05215724930167198,0.1874905228614807
,0.0009997532801828658,15,,,
3,,19,,0.051073845475912094,0.18508583307266235
,0.0009995614150494292,20,,,
4,,24,,0.060402873903512955,0.18685702979564667
,0.000999314767377287,25,,,
5,,29,,0.05576884374022484,0.18502488732337952
,0.0009990133642141358,30,,,
6,,34,,0.05858282744884491,0.18606191873550415
,0.000998657238612229,35,,,
7,,39,,0.05923493206501007,0.18069805204868317
,0.0009982464296247522,40,,,
8,,44,,0.05609313026070595,0.1771242618560791
,0.00099778098230154,45,,,
9,,49,0.05031312629580498,,
9,,49,,0.0605839267373085,0.18630164861679077
,0.0009972609476841367,50,,,
10,,54,,0.06576492637395859,0.19129519164562225
,0.0009966863828001983,55,,,
11,,59,,0.06006712093949318,0.1771785318851471
,0.0009960573506572392,60,,,
12,,64,,0.05501103028655052,0.1796221137046814
,0.000995373920235722,65,,,
13,,69,,0.06960919499397278,0.1947544664144516
,0.0009946361664814943,70,,,
14,,74,,0.0630747452378273,0.1788477748632431
,0.000993844170297569,75,,,
15,,79,,0.05837526172399521,0.17946435511112213
,0.0009929980185352527,80,,,
16,,84,,0.06178872287273407,0.1853078454732895
,0.000992097803984621,85,,,
17,,89,,0.06797590106725693,0.19870057702064514
,0.0009911436253643446,90,,,
18,,94,,0.06967491656541824,0.20043425261974335
,0.0009901355873108612,95,,,
19,,99,0.03201250359416008,,
19,,99,,0.07062631100416183,0.1941770613193512
,0.000989073800366903,100,,,
20,,104,,0.06372523307800293,0.18382081389427185
,0.0009879583809693738,105,,,
21,,109,,0.06361385434865952,0.18788853287696838
,0.0009867894514365802,110,,,
22,,114,,0.06249259412288666,0.18535608053207397
,0.0009855671399548183,115,,,
23,,119,,0.0724029615521431,0.20643401145935059
,0.0009842915805643158,120,,,
24,,124,,0.08500972390174866,0.22928732633590698
,0.0009829629131445344,125,,,
25,,129,,0.06540670245885849,0.1835063397884369
,0.0009815812833988294,130,,,
26,,134,,0.06270205974578857,0.1843869835138321
,0.0009801468428384719,135,,,
27,,139,,0.0727805495262146,0.19739866256713867
,0.000978659748766034,140,,,
28,,144,,0.08184753358364105,0.21664437651634216
,0.0009771201642581387,145,,,
29,,149,0.013340890407562256,,
29,,149,,0.06788705289363861,0.19634507596492767
,0.0009755282581475771,150,,,
30,,154,,0.06128809601068497,0.18354545533657074
,0.0009738842050047931,155,,,
31,,159,,0.0716962143778801,0.20084939897060394
,0.0009721881851187409,160,,,
32,,164,,0.07755465060472488,0.21874254941940308
,0.0009704403844771131,165,,,
33,,169,,0.0709233358502388,0.19942019879817963
,0.0009686409947459461,170,,,
34,,174,,0.1071159839630127,0.24646876752376556
,0.0009667902132486011,175,,,
35,,179,,0.07827190309762955,0.21062029898166656
,0.000964888242944126,180,,,
36,,184,,0.0774305984377861,0.21721306443214417
,0.0009629352924049977,185,,,
37,,189,,0.07516265660524368,0.2110540270805359
,0.0009609315757942507,190,,,
38,,194,,0.06958092004060745,0.20238374173641205
,0.0009588773128419909,195,,,
39,,199,0.009878551587462425,,
39,,199,,0.06622317433357239,0.1961842030286789
,0.0009567727288213008,200,,,
40,,204,,0.061723243445158005,0.19583667814731598
,0.0009546180545235346,205,,,
41,,209,,0.06744334101676941,0.20343050360679626
,0.0009524135262330101,210,,,
42,,214,,0.06701801717281342,0.19769473373889923
,0.0009501593857010972,215,,,
43,,219,,0.07163898646831512,0.1948493868112564
