epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,8,,0.07011450082063675,0.231431245803833
,0.000999972584682756,9,,,
1,,17,,0.06941571086645126,0.22952143847942352
,0.0009998903417374227,18,,,
2,,26,,0.067842036485672,0.22520090639591217
,0.0009997532801828658,27,,,
3,,35,,0.06667840480804443,0.22054195404052734
,0.0009995614150494292,36,,,
4,,44,,0.0654984638094902,0.2182738333940506
,0.000999314767377287,45,,,
5,,49,0.05109018087387085,,
5,,53,,0.06490082293748856,0.21817083656787872
,0.0009990133642141358,54,,,
6,,62,,0.06398546695709229,0.21446916460990906
,0.000998657238612229,63,,,
7,,71,,0.061409711837768555,0.20872673392295837
,0.0009982464296247522,72,,,
8,,80,,0.06112511083483696,0.2105991393327713
,0.00099778098230154,81,,,
9,,89,,0.06139771267771721,0.21019570529460907
,0.0009972609476841367,90,,,
10,,98,,0.06171568110585213,0.2117665559053421
,0.0009966863828001983,99,,,
11,,99,0.05322225019335747,,
11,,107,,0.06041941046714783,0.20930102467536926
,0.0009960573506572392,108,,,
12,,116,,0.059144653379917145,0.20577536523342133
,0.000995373920235722,117,,,
13,,125,,0.060191817581653595,0.20869792997837067
,0.0009946361664814943,126,,,
14,,134,,0.06772858649492264,0.22308354079723358
,0.000993844170297569,135,,,
15,,143,,0.06469608098268509,0.21783433854579926
,0.0009929980185352527,144,,,
16,,149,0.045380230993032455,,
16,,152,,0.05887731909751892,0.20130041241645813
,0.000992097803984621,153,,,
17,,161,,0.06767501682043076,0.21450258791446686
,0.0009911436253643446,162,,,
18,,170,,0.06404852867126465,0.21044954657554626
,0.0009901355873108612,171,,,
19,,179,,0.07983347028493881,0.2321547120809555
,0.000989073800366903,180,,,
20,,188,,0.08047135174274445,0.23182956874370575
,0.0009879583809693738,189,,,
21,,197,,0.0660567507147789,0.20632852613925934
,0.0009867894514365802,198,,,
22,,199,0.033221274614334106,,
22,,206,,0.08812301605939865,0.24042093753814697
,0.0009855671399548183,207,,,
23,,215,,0.07275369018316269,0.2175736278295517
,0.0009842915805643158,216,,,
24,,224,,0.08026256412267685,0.22443480789661407
,0.0009829629131445344,225,,,
25,,233,,0.07861185818910599,0.22510972619056702
,0.0009815812833988294,234,,,
26,,242,,0.10631778836250305,0.26107257604599
,0.0009801468428384719,243,,,
27,,249,0.02266845852136612,,
27,,251,,0.08440419286489487,0.23311573266983032
,0.000978659748766034,252,,,
28,,260,,0.07887554913759232,0.2209632396697998
,0.0009771201642581387,261,,,
29,,269,,0.0748395249247551,0.20662429928779602
,0.0009755282581475771,270,,,
30,,278,,0.07753462344408035,0.21501435339450836
,0.0009738842050047931,279,,,
31,,287,,0.0910598412156105,0.23542873561382294
,0.0009721881851187409,288,,,
32,,296,,0.09542031586170197,0.24364355206489563
,0.0009704403844771131,297,,,
33,,299,0.017261289060115814,,
33,,305,,0.0929972380399704,0.23886369168758392
,0.0009686409947459461,306,,,
34,,314,,0.08413255214691162,0.21912260353565216
,0.0009667902132486011,315,,,
35,,323,,0.08470909297466278,0.2205217182636261
,0.000964888242944126,324,,,
36,,332,,0.08075110614299774,0.22268712520599365
,0.0009629352924049977,333,,,
37,,341,,0.08366453647613525,0.21776802837848663
,0.0009609315757942507,342,,,
38,,349,0.009839720092713833,,
38,,350,,0.07826884090900421,0.2119840830564499
,0.0009588773128419909,351,,,
39,,359,,0.08424419909715652,0.21755270659923553
,0.0009567727288213008,360,,,
40,,368,,0.08938556164503098,0.2285585105419159
,0.0009546180545235346,369,,,
41,,377,,0.0832890048623085,0.21450047194957733
,0.0009524135262330101,378,,,
42,,386,,0.08985087275505066,0.23347710072994232
,0.0009501593857010972,387,,,
43,,395,,0.07786047458648682,0.21138083934783936
,0.0009478558801197068,396,,,
44,,399,0.004400056786835194,,
44,,404,,0.08831211924552917,0.22721099853515625
,0.0009455032620941841,405,,,
45,,413,,0.0850268304347992,0.2230672538280487
,0.0009431017896156075,414,,,
46,,422,,0.09126709401607513,0.231868714094162
,0.0009406517260324962,423,,,
47,,431,,0.09701602160930634,0.24377503991127014
,0.000938153340021932,432,,,
48,,440,,0.0864638239145279,0.217354416847229
,0.0009356069055600951,441,,,
49,,449,0.011590009555220604,,
49,,449,,0.10072191059589386,0.24803844094276428
,0.0009330127018922197,450,,,
50,,458,,0.09199567884206772,0.23122437298297882
,0.0009303710135019722,459,,,
51,,467,,0.09759072959423065,0.24619179964065552
,0.0009276821300802536,468,,,
52,,476,,0.09874136000871658,0.24589520692825317
,0.0009249463464934323,477,,,
53,,485,,0.08768611401319504,0.23064206540584564
,0.0009221639627510079,486,,,
54,,494,,0.08392701297998428,0.21220488846302032
,0.0009193352839727124,495,,,
55,,499,0.007168527692556381,,
55,,503,,0.09122571349143982,0.22622503340244293
,0.0009164606203550501,504,,,
56,,512,,0.09309849888086319,0.22880961000919342
