combo,n_replicates,nldi_mean,nldi_std,nldi_mean_sd,bootstrap_ci,bootstrap_ci_lo,bootstrap_ci_hi,wilcoxon_p_bonf,ttest_p_bonf,sig
T2-T5,37,0.389,0.2424,0.3890 ± 0.2424,"[0.3158, 0.4725]",0.3158,0.4725,7.28e-11,1.68e-10,***
T1-T2,37,0.3606,0.2244,0.3606 ± 0.2244,"[0.2995, 0.4421]",0.2995,0.4421,7.28e-11,1.62e-10,***
T3-T5,37,0.3567,0.3342,0.3567 ± 0.3342,"[0.2558, 0.4764]",0.2558,0.4764,7.28e-11,2.01e-06,***
T2-T3,37,0.3565,0.2303,0.3565 ± 0.2303,"[0.2853, 0.4342]",0.2853,0.4342,7.28e-11,4.33e-10,***
T1-T4,37,0.3482,0.1554,0.3482 ± 0.1554,"[0.2989, 0.3989]",0.2989,0.3989,7.28e-11,1.32e-14,***
T1-T3,37,0.3197,0.1866,0.3197 ± 0.1866,"[0.2605, 0.3828]",0.2605,0.3828,7.28e-11,2.95e-11,***
T1-T5,37,0.3016,0.1784,0.3016 ± 0.1784,"[0.2484, 0.3632]",0.2484,0.3632,7.28e-11,4.25e-11,***
T4-T5,37,0.2946,0.1789,0.2946 ± 0.1789,"[0.2399, 0.3558]",0.2399,0.3558,7.28e-11,8.57e-11,***
T3-T4,37,0.2666,0.1346,0.2666 ± 0.1346,"[0.2241, 0.3113]",0.2241,0.3113,7.28e-11,5.08e-13,***
T2-T4,37,0.2659,0.1136,0.2659 ± 0.1136,"[0.2298, 0.3026]",0.2298,0.3026,7.28e-11,3.47e-15,***
Overall,370,0.3259,0.0404,0.3259 ± 0.0404,—,,,10/10,—,***
