category,representation,params,acc,prec,rec,f1,acc_mean
Handcrafted,HC + LDA,—,94.1±1.2,94.2±1.1,94.1±1.2,94.1±1.2,94.08000000000001
Handcrafted,HC + RF,—,91.9±6.1,93.0±5.3,91.9±6.2,91.9±6.1,91.86
Handcrafted,HC + SVM-RBF,—,90.3±6.0,91.7±4.3,90.2±6.1,90.3±5.9,90.32000000000001
Handcrafted,HC + k-NN,—,79.1±6.2,80.9±5.7,79.1±6.4,79.0±6.2,79.06
End-to-end,1D-CNN,45.9K,87.8±2.7,88.6±2.9,87.8±2.7,87.8±2.9,87.82000000000001
Self-supervised,TS2Vec + SVM-RBF,58.8K,82.8±4.9,83.8±5.2,82.8±5.1,82.7±5.4,82.82000000000001
Self-supervised,Autoencoder + SVM-RBF,53.8K,93.4±5.2,93.6±5.2,93.4±5.2,93.4±5.3,93.44000000000001
Self-supervised,SimCLR + SVM-RBF,70.3K,71.3±5.3,73.7±3.8,71.3±5.2,71.6±5.2,71.25999999999999
Comp-supervised,TS2Vec+SoftSupCon + SVM-RBF,58.8K,93.1±3.6,93.7±3.5,93.0±3.7,93.0±3.8,93.14000000000001
Comp-supervised,AE+SoftSupCon + SVM-RBF,53.8K,97.2±1.2,97.4±1.1,97.1±1.3,97.1±1.2,97.17999999999999
Comp-supervised,SimCLR+SoftSupCon + SVM-RBF,70.3K,96.6±1.2,96.9±0.9,96.5±1.2,96.5±1.2,96.56
CARL (ours),CARL + SVM-RBF (frozen),78.5K,95.6±2.5,95.9±2.4,95.6±2.5,95.6±2.6,95.6
CARL (ours),CARL (fine-tuning),78.5K,97.5±2.9,97.7±2.6,97.5±2.9,97.5±2.9,97.5
